"","Receiver","ID","LatR","LongR","Lat","Long","dist"
"27","LJK20",120262,32.79631,-117.27438,32.79673,-117.27817,358.041124729011
"28","LJK20",120262,32.79631,-117.27438,32.79674,-117.27823,363.757833454385
"29","LJK20",120262,32.79631,-117.27438,32.79674,-117.27827,367.47251173639
"30","LJK20",120262,32.79631,-117.27438,32.79674,-117.27831,371.187833402235
"31","LJK20",120262,32.79631,-117.27438,32.79674,-117.27837,376.761980609269
"32","LJK20",120262,32.79631,-117.27438,32.79674,-117.2784,379.549561655928
"33","LJK20",120262,32.79631,-117.27438,32.79675,-117.27844,383.406390606753
"34","LJK20",120262,32.79631,-117.27438,32.79675,-117.27848,387.122901486911
"35","LJK20",120262,32.79631,-117.27438,32.79675,-117.27851,389.910663669207
"36","LJK20",120262,32.79631,-117.27438,32.79674,-117.27858,396.281702301107
"37","LJK20",120262,32.79631,-117.27438,32.79676,-117.27861,399.342510899005
"38","LJK20",120262,32.79631,-117.27438,32.79676,-117.27863,401.201235904438
"39","LJK20",120262,32.79631,-117.27438,32.79676,-117.27867,404.919090095161
"40","LJK20",120262,32.79631,-117.27438,32.79677,-117.27872,409.703734517799
"41","LJK20",120262,32.79631,-117.27438,32.79677,-117.27877,414.351053423171
"42","LJK20",120262,32.79631,-117.27438,32.79677,-117.2788,417.139831688181
"43","LJK20",120262,32.79631,-117.27438,32.79677,-117.27884,420.858642148502
"44","LJK20",120262,32.79631,-117.27438,32.79676,-117.2789,426.306548468146
"45","LJK20",120262,32.79631,-117.27438,32.79675,-117.27895,430.831059771235
"46","LJK20",120262,32.79631,-117.27438,32.79674,-117.27901,436.292804106598
"47","LJK20",120262,32.79631,-117.27438,32.79671,-117.27908,442.464941725137
"48","LJK20",120262,32.79631,-117.27438,32.7967,-117.27914,447.94859439096
"49","LJK20",120262,32.79631,-117.27438,32.79667,-117.27918,451.371558436645
"50","LJK20",120262,32.79631,-117.27438,32.79665,-117.27925,457.714925249347
"51","LJK20",120262,32.79631,-117.27438,32.79659,-117.27937,468.429749529165
"52","LJK20",120262,32.79631,-117.27438,32.79657,-117.27943,473.897494894192
"53","LJK20",120262,32.79631,-117.27438,32.79653,-117.27949,479.26104862918
"54","LJK20",120262,32.79631,-117.27438,32.79651,-117.27955,484.767388408663
"55","LJK20",120262,32.79631,-117.27438,32.79647,-117.27962,491.137162446225
"56","LJK20",120262,32.79631,-117.27438,32.79645,-117.27968,496.679345131235
"57","LJK20",120262,32.79631,-117.27438,32.79644,-117.27975,503.199925643644
"58","LJK19",111416,32.79639,-117.28002,32.7969,-117.27686,301.343183441616
"59","LJK19",111416,32.79639,-117.28002,32.79689,-117.27692,295.614908332827
"60","LJK19",111416,32.79639,-117.28002,32.7969,-117.27694,293.986358251497
"61","LJK19",111416,32.79639,-117.28002,32.79689,-117.27703,285.500963444296
"62","LJK19",111416,32.79639,-117.28002,32.79688,-117.27709,279.77258258182
"63","LJK19",111416,32.79639,-117.28002,32.79688,-117.27715,274.261766155568
"64","LJK19",111416,32.79639,-117.28002,32.79688,-117.2772,269.672862355778
"65","LJK19",111416,32.79639,-117.28002,32.79688,-117.27726,264.170553691446
"66","LJK19",111416,32.79639,-117.28002,32.79687,-117.27731,259.359274559656
"67","LJK19",111416,32.79639,-117.28002,32.79686,-117.27737,253.631304227684
"68","LJK19",111416,32.79639,-117.28002,32.79685,-117.27744,246.986804296628
"69","LJK19",111416,32.79639,-117.28002,32.79684,-117.2775,241.258931017651
"70","LJK19",111416,32.79639,-117.28002,32.79681,-117.27756,235.081602279731
"71","LJK19",111416,32.79639,-117.28002,32.7968,-117.27763,228.435274363492
"72","LJK19",111416,32.79639,-117.28002,32.79679,-117.27766,225.461375457811
"73","LJK19",111416,32.79639,-117.28002,32.79679,-117.27773,219.036643826859
"74","LJK19",111416,32.79639,-117.28002,32.79676,-117.27777,214.708379744893
"75","LJK19",111416,32.79639,-117.28002,32.79676,-117.2778,211.950841044891
"76","LJK19",111416,32.79639,-117.28002,32.79673,-117.27779,212.253684910483
"77","LJK19",111416,32.79639,-117.28002,32.79671,-117.27786,205.409797501692
"78","LJK19",111416,32.79639,-117.28002,32.79671,-117.2779,201.720492478515
"79","LJK19",111416,32.79639,-117.28002,32.79672,-117.27794,198.235072029429
"80","LJK19",111416,32.79639,-117.28002,32.79673,-117.27798,194.765669174008
"81","LJK19",111416,32.79639,-117.28002,32.79672,-117.27802,190.875521970088
"82","LJK19",111416,32.79639,-117.28002,32.79673,-117.27806,187.419683796556
"83","LJK19",111416,32.79639,-117.28002,32.79673,-117.27813,181.001858760111
"84","LJK19",111416,32.79639,-117.28002,32.79673,-117.27817,177.339091933715
"85","LJK19",111416,32.79639,-117.28002,32.79674,-117.27823,172.098447389904
"86","LJK19",111416,32.79639,-117.28002,32.79674,-117.27827,168.450421745281
"87","LJK19",111416,32.79639,-117.28002,32.79674,-117.27831,164.806822843729
"88","LJK19",111416,32.79639,-117.28002,32.79674,-117.27837,159.350388781398
"89","LJK19",111416,32.79639,-117.28002,32.79674,-117.2784,156.626510189225
"90","LJK19",111416,32.79639,-117.28002,32.79675,-117.27844,153.284614505249
"91","LJK19",111416,32.79639,-117.28002,32.79675,-117.27848,149.67042915571
"92","LJK19",111416,32.79639,-117.28002,32.79675,-117.27851,146.964145293354
"93","LJK19",111416,32.79639,-117.28002,32.79674,-117.27858,140.354574702865
"94","LJK19",111416,32.79639,-117.28002,32.79676,-117.27861,138.298127214916
"95","LJK19",111416,32.79639,-117.28002,32.79676,-117.27863,136.510273435828
"96","LJK19",111416,32.79639,-117.28002,32.79676,-117.27867,132.941629038916
"97","LJK19",111416,32.79639,-117.28002,32.79677,-117.27872,128.853505480604
"98","LJK19",111416,32.79639,-117.28002,32.79677,-117.27877,124.437140486377
"99","LJK19",111416,32.79639,-117.28002,32.79677,-117.2788,121.79689658325
"100","LJK19",111416,32.79639,-117.28002,32.79677,-117.27884,118.288739912968
"101","LJK19",111416,32.79639,-117.28002,32.79676,-117.2789,112.646521592954
"102","LJK19",111416,32.79639,-117.28002,32.79675,-117.27895,107.883069106432
"103","LJK19",111416,32.79639,-117.28002,32.79674,-117.27901,102.257024399832
"104","LJK19",111416,32.79639,-117.28002,32.79671,-117.27908,94.9300045314705
"105","LJK19",111416,32.79639,-117.28002,32.7967,-117.27914,89.3093146781673
"106","LJK19",111416,32.79639,-117.28002,32.79667,-117.27918,84.5863156172159
"107","LJK19",111416,32.79639,-117.28002,32.79665,-117.27925,77.6739328719016
"108","LJK19",111416,32.79639,-117.28002,32.79659,-117.27937,64.7979938872283
"109","LJK19",111416,32.79639,-117.28002,32.79657,-117.27943,58.7584634951439
"110","LJK19",111416,32.79639,-117.28002,32.79653,-117.27949,52.0148924529708
"111","LJK19",111416,32.79639,-117.28002,32.79651,-117.27955,45.9911079064334
"112","LJK19",111416,32.79639,-117.28002,32.79647,-117.27962,38.503008589614
"113","LJK19",111416,32.79639,-117.28002,32.79645,-117.27968,32.5345825437411
"114","LJK19",111416,32.79639,-117.28002,32.79644,-117.27975,25.8909162268125
"115","LJK11",123755,32.83007,-117.2958,32.8274,-117.29594,296.396794496678
"116","LJK11",123755,32.83007,-117.2958,32.82747,-117.29593,288.600489322323
"117","LJK11",123755,32.83007,-117.2958,32.82753,-117.29594,281.994440972153
"118","LJK11",123755,32.83007,-117.2958,32.82756,-117.29594,278.671038649337
"119","LJK11",123755,32.83007,-117.2958,32.82759,-117.29593,275.304736299897
"120","LJK11",123755,32.83007,-117.2958,32.82763,-117.29594,270.916780604535
"121","LJK11",123755,32.83007,-117.2958,32.82767,-117.29593,266.441589442145
"122","LJK11",123755,32.83007,-117.2958,32.82771,-117.29594,262.055412232845
"123","LJK11",123755,32.83007,-117.2958,32.82774,-117.29594,258.732588902606
"124","LJK11",123755,32.83007,-117.2958,32.82778,-117.29593,254.255783359199
"125","LJK11",123755,32.83007,-117.2958,32.82782,-117.29594,249.872275477682
"126","LJK11",123755,32.83007,-117.2958,32.82785,-117.29594,246.549876684586
"127","LJK11",123755,32.83007,-117.2958,32.82789,-117.29593,242.071321620582
"128","LJK11",123755,32.83007,-117.2958,32.82794,-117.29593,236.533430533628
"129","LJK11",123755,32.83007,-117.2958,32.82798,-117.29593,232.103364443721
"130","LJK11",123755,32.83007,-117.2958,32.82802,-117.29594,227.725510804947
"131","LJK11",123755,32.83007,-117.2958,32.82804,-117.29596,225.62779671973
"132","LJK11",123755,32.83007,-117.2958,32.82809,-117.29594,219.97573855036
"133","LJK11",123755,32.83007,-117.2958,32.82813,-117.29593,215.492811275576
"134","LJK11",123755,32.83007,-117.2958,32.82816,-117.29596,212.350834601345
"135","LJK11",123755,32.83007,-117.2958,32.82819,-117.29597,209.101406203557
"136","LJK11",123755,32.83007,-117.2958,32.82823,-117.29597,204.678500089958
"137","LJK11",123755,32.83007,-117.2958,32.82827,-117.29597,200.256175683652
"138","LJK11",123755,32.83007,-117.2958,32.8283,-117.29597,196.939837699182
"139","LJK11",123755,32.83007,-117.2958,32.82835,-117.29597,191.413433269566
"140","LJK11",123755,32.83007,-117.2958,32.82839,-117.29594,186.774964544606
"141","LJK11",123755,32.83007,-117.2958,32.82844,-117.29596,181.389042862704
"142","LJK11",123755,32.83007,-117.2958,32.82846,-117.29594,179.031837888759
"143","LJK11",123755,32.83007,-117.2958,32.82851,-117.29594,173.502125900344
"144","LJK11",123755,32.83007,-117.2958,32.82856,-117.29593,167.902950720876
"145","LJK11",123755,32.83007,-117.2958,32.8286,-117.29591,163.350124394955
"146","LJK11",123755,32.83007,-117.2958,32.82865,-117.29591,157.816474330615
"147","LJK11",123755,32.83007,-117.2958,32.8287,-117.29591,152.283655076188
"148","LJK11",123755,32.83007,-117.2958,32.82874,-117.29591,147.858060532703
"149","LJK11",123755,32.83007,-117.2958,32.82878,-117.2959,143.368918770187
"150","LJK11",123755,32.83007,-117.2958,32.82882,-117.2959,138.942634617329
"151","LJK11",123755,32.83007,-117.2958,32.82887,-117.2959,133.410692289444
"152","LJK11",123755,32.83007,-117.2958,32.82892,-117.2959,127.879887119462
"153","LJK11",123755,32.83007,-117.2958,32.82896,-117.2959,123.456164442911
"154","LJK11",123755,32.83007,-117.2958,32.829,-117.29591,119.11066928776
"155","LJK11",123755,32.83007,-117.2958,32.82905,-117.2959,113.506308382698
"156","LJK11",123755,32.83007,-117.2958,32.82911,-117.29591,106.962407382418
"157","LJK11",123755,32.83007,-117.2958,32.82915,-117.29591,102.547853515632
"158","LJK11",123755,32.83007,-117.2958,32.8292,-117.29591,97.0324193290576
"159","LJK11",123755,32.83007,-117.2958,32.82923,-117.29591,93.7248375921345
"160","LJK11",123755,32.83007,-117.2958,32.82927,-117.2959,89.2138537113962
"161","LJK11",123755,32.83007,-117.2958,32.82932,-117.29589,83.6018660262336
"162","LJK11",123755,32.83007,-117.2958,32.82935,-117.2959,80.3961305905735
"163","LJK11",123755,32.83007,-117.2958,32.8294,-117.29589,74.7802857329033
"164","LJK11",123755,32.83007,-117.2958,32.82944,-117.29589,70.3742602038926
"165","LJK11",123755,32.83007,-117.2958,32.82949,-117.29589,64.8724846810815
"166","LJK11",123755,32.83007,-117.2958,32.82953,-117.29589,60.47675864526
"167","LJK11",123755,32.83007,-117.2958,32.8296,-117.29587,52.5341375812596
"168","LJK11",123755,32.83007,-117.2958,32.82963,-117.29587,49.2348394371998
"169","LJK11",123755,32.83007,-117.2958,32.82969,-117.29587,42.6491770518322
"170","LJK11",123755,32.83007,-117.2958,32.82971,-117.29589,40.804160677712
"171","LJK11",123755,32.83007,-117.2958,32.82976,-117.2959,35.631670615202
"172","LJK11",123755,32.83007,-117.2958,32.82981,-117.2959,30.3165095608266
"173","LJK11",123755,32.83007,-117.2958,32.82983,-117.29591,28.5396229439902
"174","LJK11",123755,32.83007,-117.2958,32.82983,-117.29591,28.5396229439902
"175","LJK11",123755,32.83007,-117.2958,32.82984,-117.29591,27.5082562751032
"176","LJK11",123755,32.83007,-117.2958,32.82985,-117.29593,27.2660869644676
"177","LJK11",123755,32.83007,-117.2958,32.82988,-117.29594,24.8159417219179
"178","LJK11",123755,32.83007,-117.2958,32.82988,-117.29596,25.8540659455238
"179","LJK11",123755,32.83007,-117.2958,32.82986,-117.29594,26.724970132839
"180","LJK3",125268,32.85456,-117.2729,32.85633,-117.27671,407.089250291226
"181","LJK3",125268,32.85456,-117.2729,32.85627,-117.27657,392.40048337673
"182","LJK3",125268,32.85456,-117.2729,32.85621,-117.27642,376.893769659781
"183","LJK3",125268,32.85456,-117.2729,32.85617,-117.27623,359.223382893413
"184","LJK3",125268,32.85456,-117.2729,32.85611,-117.27609,344.545553812746
"185","LJK3",125268,32.85456,-117.2729,32.85604,-117.27599,332.566560068783
"186","LJK3",125268,32.85456,-117.2729,32.85598,-117.27588,320.328155848286
"187","LJK3",125268,32.85456,-117.2729,32.85591,-117.27572,303.470321636486
"188","LJK3",125268,32.85456,-117.2729,32.85581,-117.2756,288.257805380605
"189","LJK3",125268,32.85456,-117.2729,32.85575,-117.27548,275.209716256092
"190","LJK3",125268,32.85456,-117.2729,32.85569,-117.27535,261.340566178057
"191","LJK3",125268,32.85456,-117.2729,32.85563,-117.27524,249.115874289533
"192","LJK3",125268,32.85456,-117.2729,32.85556,-117.27514,237.199470076717
"193","LJK3",125268,32.85456,-117.2729,32.85553,-117.27505,228.199123195719
"194","LJK3",125268,32.85456,-117.2729,32.8555,-117.27488,212.645908351542
"195","LJK3",125268,32.85456,-117.2729,32.85544,-117.27467,192.289162233555
"196","LJK3",125268,32.85456,-117.2729,32.85539,-117.27453,178.193207316156
"197","LJK3",125268,32.85456,-117.2729,32.85533,-117.27438,162.740933516662
"198","LJK3",125268,32.85456,-117.2729,32.85527,-117.27425,148.892214921298
"199","LJK3",125268,32.85456,-117.2729,32.85518,-117.27407,129.314409744455
"200","LJK3",125268,32.85456,-117.2729,32.85511,-117.27393,114.088564075368
"201","LJK3",125268,32.85456,-117.2729,32.85505,-117.27377,97.9033330325939
"202","LJK3",125268,32.85456,-117.2729,32.85499,-117.27364,84.0966419161757
"203","LJK3",125268,32.85456,-117.2729,32.85488,-117.27337,56.5242241031921
"204","LJK3",125268,32.85456,-117.2729,32.85481,-117.27323,41.5077667324843
"205","LJK3",125268,32.85456,-117.2729,32.85472,-117.2731,25.7942760206713
"206","LJK3",125268,32.85456,-117.2729,32.85461,-117.27289,5.62354655339369
"207","LJK3",125268,32.85456,-117.2729,32.85441,-117.2729,16.6352806638096
"208","LJK3",125268,32.85456,-117.2729,32.85456,-117.27296,5.61637441491398
"209","LJK3",125268,32.85456,-117.2729,32.85457,-117.27296,5.72482144359001
"210","LJK3",125268,32.85456,-117.2729,32.85458,-117.27298,7.81007670507276
"211","Charles",120251,32.85683,-117.27194,32.85633,-117.27671,449.921770821434
"212","Charles",120251,32.85683,-117.27194,32.85627,-117.27657,437.814480532448
"213","Charles",120251,32.85683,-117.27194,32.85621,-117.27642,424.946478734909
"214","Charles",120251,32.85683,-117.27194,32.85617,-117.27623,408.17840543445
"215","Charles",120251,32.85683,-117.27194,32.85611,-117.27609,396.579385008644
"216","Charles",120251,32.85683,-117.27194,32.85604,-117.27599,389.089595164137
"217","Charles",120251,32.85683,-117.27194,32.85598,-117.27588,380.657770856871
"218","Charles",120251,32.85683,-117.27194,32.85591,-117.27572,368.241468166904
"219","Charles",120251,32.85683,-117.27194,32.85581,-117.2756,360.784493919673
"220","Charles",120251,32.85683,-117.27194,32.85575,-117.27548,352.342231718564
"221","Charles",120251,32.85683,-117.27194,32.85569,-117.27535,343.317781126294
"222","Charles",120251,32.85683,-117.27194,32.85563,-117.27524,336.343418113176
"223","Charles",120251,32.85683,-117.27194,32.85556,-117.27514,330.995970363575
"224","Charles",120251,32.85683,-117.27194,32.85553,-117.27505,324.855046922413
"225","Charles",120251,32.85683,-117.27194,32.8555,-117.27488,312.233430242581
"226","Charles",120251,32.85683,-117.27194,32.85544,-117.27467,298.436430288288
"227","Charles",120251,32.85683,-117.27194,32.85539,-117.27453,290.308240435109
"228","Charles",120251,32.85683,-117.27194,32.85533,-117.27438,282.555654522059
"229","Charles",120251,32.85683,-117.27194,32.85527,-117.27425,276.92135760625
"230","Charles",120251,32.85683,-117.27194,32.85518,-117.27407,270.62200034361
"231","Charles",120251,32.85683,-117.27194,32.85511,-117.27393,266.6155486864
"232","Charles",120251,32.85683,-117.27194,32.85505,-117.27377,261.364621389243
"233","Charles",120251,32.85683,-117.27194,32.85499,-117.27364,258.770281783864
"234","Charles",120251,32.85683,-117.27194,32.85488,-117.27337,254.332418305001
"235","Charles",120251,32.85683,-117.27194,32.85481,-117.27323,254.4924842495
"236","Charles",120251,32.85683,-117.27194,32.85472,-117.2731,257.967828619999
"237","Charles",120251,32.85683,-117.27194,32.85461,-117.27289,261.769248406915
"238","Charles",120251,32.85683,-117.27194,32.85441,-117.2729,283.026841198912
"239","Charles",120251,32.85683,-117.27194,32.85456,-117.27296,269.244474701511
"240","Charles",120251,32.85683,-117.27194,32.85457,-117.27296,268.207813320727
"241","Charles",120251,32.85683,-117.27194,32.85458,-117.27298,267.846458532671
"242","LJK7",120265,32.84636,-117.29623,32.84345,-117.29676,326.51579269399
"243","LJK7",120265,32.84636,-117.29623,32.84353,-117.29675,317.604711760204
"244","LJK7",120265,32.84636,-117.29623,32.84359,-117.29672,310.603727738338
"245","LJK7",120265,32.84636,-117.29623,32.84368,-117.29671,300.594265574268
"246","LJK7",120265,32.84636,-117.29623,32.84376,-117.29669,291.542401248968
"247","LJK7",120265,32.84636,-117.29623,32.84385,-117.29669,281.674589646263
"248","LJK7",120265,32.84636,-117.29623,32.84392,-117.29664,273.308748523295
"249","LJK7",120265,32.84636,-117.29623,32.84409,-117.29659,253.992713165812
"250","LJK7",120265,32.84636,-117.29623,32.84418,-117.2966,244.23441585396
"251","LJK7",120265,32.84636,-117.29623,32.84426,-117.29657,235.058578280415
"252","LJK7",120265,32.84636,-117.29623,32.84433,-117.29653,226.875478253409
"253","LJK7",120265,32.84636,-117.29623,32.84443,-117.29652,215.755177088878
"254","LJK7",120265,32.84636,-117.29623,32.84451,-117.2965,206.719291723517
"255","LJK7",120265,32.84636,-117.29623,32.8446,-117.2965,196.816815452398
"256","LJK7",120265,32.84636,-117.29623,32.84467,-117.29647,188.76577203641
"257","LJK7",120265,32.84636,-117.29623,32.8448,-117.29645,174.22824430341
"258","LJK7",120265,32.84636,-117.29623,32.84488,-117.29645,165.421637281374
"259","LJK7",120265,32.84636,-117.29623,32.84496,-117.29643,156.387237440033
"260","LJK7",120265,32.84636,-117.29623,32.84503,-117.29643,148.682859612195
"261","LJK7",120265,32.84636,-117.29623,32.84513,-117.29645,137.955124355611
"262","LJK7",120265,32.84636,-117.29623,32.8452,-117.2964,129.626642495836
"263","LJK7",120265,32.84636,-117.29623,32.84527,-117.2964,121.925977003004
"264","LJK7",120265,32.84636,-117.29623,32.84538,-117.29645,110.617868408527
"265","LJK7",120265,32.84636,-117.29623,32.84546,-117.29645,101.914249335771
"266","LJK7",120265,32.84636,-117.29623,32.84552,-117.29643,95.0203259230057
"267","LJK7",120265,32.84636,-117.29623,32.84559,-117.29642,87.2270852192379
"268","LJK7",120265,32.84636,-117.29623,32.84575,-117.2964,69.496784815949
"269","LJK7",120265,32.84636,-117.29623,32.84578,-117.29636,65.4641605819807
"270","LJK7",120265,32.84636,-117.29623,32.84587,-117.29633,55.1423058666881
"271","LJK7",120265,32.84636,-117.29623,32.84598,-117.29636,43.864691998035
"272","LJK7",120265,32.84636,-117.29623,32.84604,-117.29632,36.4749756807339
"273","LJK7",120265,32.84636,-117.29623,32.8461,-117.2963,29.569711965763
"274","LJK7",120265,32.84636,-117.29623,32.84621,-117.29626,16.8706613912035
